land_id,location,latitude,longitude,area_sqft,zone_type,road_proximity_km,metro_proximity_km,infrastructure_score,year_established,soil_type,flood_risk,ownership_changes,litigation_count,survey_conflicts,area_mismatch,document_inconsistency_count,price_volatility,market_price,actual_value,location_score,dispute_risk,ownership_change_count,survey_conflict,price_change_pct,days_between_transfers,ownership_count_90days,price_vs_market_ratio,is_fraud,historical_prices,price_vs_area_median_ratio
13,Devanahalli,13.257503,77.701134,2531.35,industrial,0.148,0.601,91.74,1985,sandy loam,False,1,1,0,1,0,0.3766,22887206.49,23170505.19,95.26,medium,1,0,0.1934,193.3,1,0.7385,False,"[15372770.51, 15964550.1, 17391881.0, 19810664.07, 21154063.06]",
14,Electronic City,12.855088,77.669151,3898.83,residential,1.517,2.17,39.5,2007,black cotton,False,0,0,0,0,0,0.2355,27680027.38,29555886.18,66.65,low,0,0,0.2291,1232.9,0,0.8411,False,"[19598926.57, 20183444.72, 21899419.99, 23709145.9, 25068105.76]",
15,Marathahalli,12.986324,77.704949,600.0,commercial,3.967,8.524,91.55,2007,black cotton,False,1,1,0,0,0,0.5169,9808178.67,10067545.36,85.39,medium,1,0,0.2842,60.8,1,0.8186,False,"[6485929.15, 7046363.27, 7733098.85, 8453559.99, 9165000.0]",
16,Marathahalli,12.9392,77.683722,1027.7,industrial,1.228,3.289,52.38,1992,alluvial,False,2,3,0,0,0,0.3131,11269566.64,11653156.47,72.46,high,2,0,-0.0002,455.9,0,0.9019,False,"[6933205.17, 8302745.71, 8712176.42, 9660716.05, 10770528.8]",
17,Bannerghatta Road,12.90382,77.564114,1655.55,residential,1.21,1.91,69.24,2020,red laterite,True,3,0,0,0,1,0.3707,14923143.73,14618340.12,82.0,medium,3,0,0.1425,85.2,1,0.8124,False,"[10231142.77, 10237129.03, 11798310.51, 12915358.06, 13428581.93]",
18,Malleshwaram,13.001066,77.574198,1543.6,commercial,0.1,0.5,58.64,1991,rocky,False,1,1,0,0,0,0.1772,40138575.17,43807925.12,78.83,medium,1,0,0.123,113.3,0,0.7469,False,"[26734371.34, 28993106.49, 31865340.18, 33782589.31, 37660328.54]",
19,JP Nagar,12.908355,77.567676,47964.65,agricultural,1.53,4.462,86.79,2019,sandy loam,False,0,0,0,1,0,0.1192,164519073.56,190159857.41,88.45,low,0,0,-0.1546,604.4,0,1.2775,False,"[109695474.39, 118872591.56, 128279022.95, 140051568.86, 153727924.36]",
20,Bannerghatta Road,12.901337,77.532711,600.0,residential,0.1,17.234,75.35,1981,black cotton,False,2,1,0,0,1,0.3954,4597049.03,4508155.73,73.8,medium,2,0,0.1388,189.5,0,0.8779,False,"[2992568.35, 3393065.54, 3587513.32, 3841443.06, 4308297.91]",
21,BTM Layout,12.924753,77.621151,600.0,commercial,2.112,9.712,76.66,1987,red laterite,False,2,1,0,0,0,0.3369,13581675.04,12796737.73,78.66,medium,2,0,0.3694,2.9,1,0.5985,True,"[8698375.67, 9991680.3, 10731571.03, 11858109.74, 12355435.3]",
22,HSR Layout,12.922175,77.616739,5673.43,residential,1.767,5.053,67.05,2021,alluvial,False,1,0,0,0,0,0.0206,71994152.42,74974726.55,77.89,low,1,0,-0.0235,213.9,2,0.935,False,"[47002658.52, 50828932.5, 55118185.07, 60675076.44, 66170578.41]",
23,Bannerghatta Road,12.872151,77.610736,2269.7,industrial,4.582,0.5,57.14,1988,black cotton,False,0,0,0,0,0,0.2991,20722481.24,21509813.34,74.05,low,0,0,0.0981,103.5,0,0.7975,False,"[13985475.99, 14683560.46, 15843770.8, 17875824.64, 19284001.47]",
24,Yelahanka,13.085704,77.609057,897.88,industrial,2.179,1.095,79.1,1987,alluvial,False,1,0,0,0,0,0.1265,8994706.4,10091748.42,86.71,low,1,0,0.1117,460.0,0,0.8407,False,"[5758041.71, 6447185.45, 7281435.57, 7856103.53, 8470176.53]",
25,Jayanagar,12.960517,77.589472,1510.38,industrial,0.977,0.827,60.77,1982,sandy loam,True,2,1,0,0,0,0.5076,24444510.92,23318996.5,78.84,medium,2,0,-0.0112,86.5,0,1.1279,False,"[15310243.12, 19011252.98, 19825110.55, 21275049.6, 22164174.52]",
26,Kengeri,12.901889,77.532336,1588.03,residential,1.815,1.757,76.45,1988,rocky,False,0,1,0,0,0,0.1274,10919905.1,10945491.94,85.19,low,0,0,0.2292,738.7,0,0.9193,False,"[7304920.77, 7752886.15, 8584296.65, 9024039.38, 9884374.19]",
27,Marathahalli,12.96522,77.697839,59061.64,agricultural,3.007,1.074,88.73,1992,black cotton,False,4,0,0,0,0,0.2872,164344989.83,146211290.73,90.8,medium,4,0,-0.11,124.3,0,0.7925,False,"[108265701.79, 121635785.23, 132083754.16, 143475868.08, 152627959.69]",
28,Rajajinagar,13.011793,77.547287,28842.18,agricultural,0.247,1.121,43.44,1988,black cotton,False,0,0,0,0,1,0.2715,79168852.46,89955517.93,70.6,low,0,0,0.3932,199.7,0,1.0803,False,"[50815783.55, 57459003.71, 63843992.53, 68092911.9, 75543318.06]",
29,Banashankari,12.934769,77.560473,1717.06,residential,2.426,3.836,84.4,2010,sandy loam,False,4,0,1,0,1,0.4925,21417876.03,22650220.44,86.95,high,4,1,0.2166,141.5,0,1.207,False,"[13829492.88, 15000960.89, 16915683.32, 18464767.41, 19883486.51]",
30,Koramangala,12.94613,77.623391,3946.36,agricultural,6.211,1.535,32.27,2004,red laterite,False,3,0,0,0,0,0.5797,11112598.18,11196606.05,59.32,medium,3,0,-0.1742,413.0,0,1.0966,False,"[7507817.03, 8180050.64, 8460923.12, 9897850.52, 9725430.99]",
31,BTM Layout,12.934492,77.63331,2629.15,residential,0.889,4.522,55.45,2023,rocky,False,1,0,0,1,0,0.3072,30196623.88,28609519.42,73.31,medium,1,0,0.4845,42.7,1,0.5584,True,"[20926879.0, 21568056.06, 23740846.75, 25932850.78, 28315498.28]",
32,Marathahalli,12.916767,77.675224,4525.69,commercial,2.463,11.818,93.61,1987,black cotton,False,0,1,0,0,0,0.224,74027943.57,70612788.46,85.14,low,0,0,0.102,260.1,0,0.7993,False,"[48117773.64, 53102619.94, 60420006.04, 64501429.76, 67426421.97]",
33,Koramangala,12.925401,77.599457,600.0,residential,4.306,4.07,89.47,2010,rocky,False,1,0,0,0,0,0.4307,10898256.3,11650221.63,87.6,low,1,0,-0.1207,162.9,0,1.0085,False,"[7245307.68, 7960981.58, 8490771.82, 9545158.97, 10101033.02]",
34,Mysore Road,12.959372,77.495316,1050.44,residential,1.793,5.572,83.96,2010,black cotton,True,1,1,0,1,0,0.3626,5624974.69,5413927.03,85.91,medium,1,0,0.3361,862.1,2,0.956,False,"[3631295.39, 4021979.18, 4170567.95, 4778224.82, 5311458.09]",
35,Old Madras Road,13.037753,77.626704,1586.96,residential,3.164,5.571,59.7,1996,rocky,False,3,0,0,0,0,0.1549,12584554.86,13179557.39,72.55,medium,3,0,0.1837,30.5,0,0.9411,False,"[8174319.95, 8737409.51, 10184587.44, 10747562.17, 11396176.34]",
36,Devanahalli,13.248122,77.726482,600.0,commercial,0.931,1.606,72.78,1998,alluvial,False,3,0,0,0,0,0.3604,5864301.94,6937505.21,84.27,medium,3,0,-0.383,708.1,1,0.8231,False,"[4070530.73, 4098774.96, 4735950.61, 4953069.87, 5469731.4]",
37,Bannerghatta Road,12.876406,77.6049,3063.46,residential,0.913,0.5,70.03,1982,black cotton,False,0,0,0,0,0,0.3795,32123779.51,32627122.72,83.79,low,0,0,-0.0714,73.4,0,0.747,False,"[20300827.43, 22332898.56, 25713288.2, 27886839.66, 30610524.27]",
38,Indiranagar,12.962038,77.62691,2099.69,commercial,2.753,0.5,78.37,2009,rocky,False,1,0,0,0,0,0.3815,71578267.26,69624101.04,86.31,low,1,0,0.1298,37.1,0,1.3614,False,"[46476653.74, 54714931.11, 56930986.93, 62368684.84, 64623108.32]",
39,Domlur,12.978577,77.646043,1035.86,residential,3.055,1.325,39.85,1989,red laterite,False,2,0,0,0,1,0.3109,13110628.82,13985638.8,66.11,medium,2,0,-0.4799,90.4,0,1.0049,False,"[8360888.1, 9575919.3, 10335311.19, 11324353.66, 11978789.87]",
40,Jayanagar,12.926445,77.559108,1178.11,residential,6.912,4.679,60.9,2008,alluvial,False,1,2,0,0,0,0.4484,16458199.81,15704325.02,70.48,medium,1,0,0.0813,43.3,0,1.1156,False,"[10737970.43, 11888924.9, 12613421.14, 14365556.11, 14746525.65]",
41,HSR Layout,12.911456,77.618902,3221.84,residential,0.637,9.487,60.59,2019,alluvial,False,3,1,0,1,0,0.261,38138923.99,44256366.1,72.13,high,3,0,0.0995,294.4,0,1.0011,False,"[24930833.44, 28806781.38, 30648859.26, 33313815.59, 34784661.56]",
42,Rajajinagar,13.003001,77.548256,767.54,commercial,1.579,12.757,80.36,1997,red laterite,True,2,0,0,0,0,0.2054,16438120.27,18710745.9,78.55,low,2,0,-0.2359,1776.4,0,1.0083,False,"[11266379.27, 12288059.74, 12708774.33, 13980699.12, 15699935.59]",
43,Whitefield,12.91177,77.751579,3314.06,residential,0.721,0.5,81.15,1991,rocky,False,2,0,0,0,0,0.5699,39457320.56,40582169.33,89.52,low,2,0,0.1277,14.0,0,0.9888,False,"[27064681.62, 27411248.36, 30379208.49, 33819826.88, 34981997.06]",
44,Tumkur Road,13.090007,77.513927,1122.79,commercial,0.209,18.456,62.4,2002,sandy loam,False,0,0,1,0,0,0.6014,11895059.49,11623726.96,66.25,low,0,1,0.0619,247.3,0,0.7983,False,"[7736319.53, 8846532.62, 9054843.54, 10259990.06, 10924001.38]",
45,Sarjapur Road,12.886379,77.694662,103022.1,agricultural,1.291,1.557,41.42,1990,red laterite,False,1,0,0,0,0,0.1849,231398703.05,233758069.43,68.3,low,1,0,-0.2378,195.1,0,0.7274,False,"[157998784.29, 163970084.24, 189834836.02, 196237878.05, 218769775.46]",
46,Bellandur,12.930539,77.683769,1423.3,commercial,1.171,7.405,63.16,1988,rocky,False,2,0,0,0,0,0.6915,26164950.71,26670023.41,74.6,low,2,0,0.2899,166.0,0,1.0695,False,"[17139060.86, 18766406.56, 20256628.24, 22670933.13, 24102872.49]",
47,Bannerghatta Road,12.859206,77.628087,6394.77,residential,0.788,0.795,89.59,2003,red laterite,False,1,1,0,0,0,0.2107,67793458.53,72325430.84,93.45,medium,1,0,0.2695,161.3,0,1.0338,False,"[43130515.28, 50808109.5, 54299211.59, 59175064.54, 62516960.07]",
48,Malleshwaram,12.995049,77.569094,719.69,residential,0.881,0.5,88.08,2004,red laterite,False,1,0,0,0,0,0.3652,11991329.65,13343643.02,92.84,low,1,0,-0.0124,901.6,0,1.1689,False,"[7749761.72, 8574142.06, 9554029.29, 10466465.04, 11144681.49]",
49,Malleshwaram,13.028394,77.594891,31506.98,agricultural,1.117,1.902,59.27,2004,black cotton,False,1,0,0,0,0,0.4617,112545673.28,108881649.38,77.11,low,1,0,0.0104,7.7,0,1.1324,False,"[71370512.34, 82744863.05, 88986271.11, 93546081.01, 99861112.45]",
50,Marathahalli,12.920777,77.719015,600.0,residential,11.238,7.834,67.58,1988,rocky,False,6,1,0,0,0,0.2404,4234971.36,4704052.32,67.41,high,6,0,0.2416,596.5,0,0.8545,False,"[2777963.1, 2978923.42, 3382138.09, 3576380.94, 3949804.12]",
51,Old Madras Road,13.032524,77.69588,14558.51,agricultural,3.819,0.998,80.61,1991,sandy loam,False,0,0,0,0,1,0.328,36660399.73,39711937.82,86.07,low,0,0,0.0098,116.6,0,1.2039,False,"[23551812.8, 27680010.15, 29658494.83, 32515792.63, 34111803.77]",
52,Kengeri,12.900826,77.479855,2206.56,residential,0.185,0.669,65.23,1990,black cotton,True,0,0,0,0,1,0.1488,13293060.9,13352277.97,81.91,low,0,0,-0.4227,193.3,0,1.1377,False,"[8859123.47, 9595370.05, 10892225.46, 11412740.93, 11991008.42]",
53,Mysore Road,12.959743,77.471593,4105.63,industrial,5.147,9.623,57.66,2017,red laterite,True,2,0,1,1,0,0.2831,28709186.71,27673651.15,66.5,high,2,1,0.1817,218.0,0,1.1244,False,"[17513395.39, 21628531.54, 22955006.99, 25002404.0, 27554875.2]",
54,Tumkur Road,13.06315,77.545154,2388.78,commercial,2.508,11.144,60.46,2007,red laterite,True,5,0,0,0,0,0.1802,22698802.74,23791438.9,69.06,high,5,0,-0.1433,145.4,0,1.4049,False,"[14004373.67, 16180341.61, 17824884.11, 19857945.54, 20795444.47]",
55,Banashankari,12.934328,77.554509,1334.39,industrial,5.532,0.5,93.43,1987,red laterite,False,1,0,0,0,1,0.3801,19019790.19,18369861.25,91.34,low,1,0,-0.0375,39.3,0,1.3679,False,"[11905866.09, 13233837.39, 15462868.06, 16074563.47, 17478419.74]",
56,Mysore Road,12.932701,77.505633,716.57,residential,1.045,5.2,59.53,1989,rocky,True,1,0,0,0,0,0.6577,4379900.34,4868949.76,74.67,low,1,0,0.4245,48.6,0,1.1242,True,"[2902515.99, 3092302.02, 3310771.18, 3628160.42, 4068331.1]",
57,Indiranagar,12.971109,77.655136,2512.15,commercial,1.561,1.48,86.59,2004,rocky,True,3,0,0,1,0,0.6853,77122065.09,74139616.47,90.71,medium,3,0,0.0265,141.6,0,1.1017,False,"[50896442.22, 55215935.45, 61590364.03, 63837268.76, 69339980.53]",
58,Marathahalli,12.929869,77.658465,689.51,residential,5.664,1.878,65.07,2015,black cotton,True,1,0,0,0,1,0.6022,6086530.42,6563345.77,75.94,low,1,0,0.0604,690.0,1,1.1947,False,"[4230617.76, 4532369.48, 4901966.45, 5154107.48, 5631500.65]",
59,Koramangala,12.945036,77.632026,600.0,residential,0.796,2.533,59.33,2022,sandy loam,False,0,0,0,0,0,0.3417,8877320.55,9182317.36,76.92,low,0,0,0.1874,57.8,1,0.8949,False,"[5769960.55, 6625028.23, 7084595.87, 7727869.78, 8226141.58]",
60,Hebbal,13.069041,77.603224,1079.3,commercial,6.178,2.226,51.13,1988,black cotton,False,1,0,0,0,0,0.2619,22086891.37,22103594.76,68.23,low,1,0,0.1863,542.9,0,0.8974,False,"[14706629.53, 16036109.18, 17468090.69, 18666478.19, 20490640.04]",
61,Yelahanka,13.064211,77.598962,69815.03,agricultural,4.408,2.894,59.42,2020,alluvial,False,0,0,0,0,0,0.1845,115982385.29,119786815.66,73.43,low,0,0,-0.1698,136.4,1,1.1212,False,"[72884414.88, 83414209.05, 91832327.4, 94167215.79, 107329311.73]",
62,Sarjapur Road,12.885767,77.683355,600.0,industrial,9.851,3.493,75.04,1987,red laterite,False,1,0,0,0,0,0.3601,6971316.42,7777192.39,75.86,low,1,0,0.0449,859.8,0,0.8458,False,"[4367407.02, 5088871.27, 5596176.82, 5935889.13, 6559872.41]",
63,Devanahalli,13.243164,77.682457,5015.02,commercial,0.98,2.506,81.78,1982,red laterite,False,3,1,1,0,0,0.2163,52251267.54,49980530.98,88.0,high,3,1,0.069,223.7,0,1.1067,False,"[34581003.83, 37380853.75, 42881870.14, 44178368.39, 50131293.27]",
64,Hebbal,13.038467,77.614484,600.0,residential,0.672,4.837,64.5,1997,red laterite,False,1,0,0,0,0,0.352,6536880.28,6609760.22,77.77,low,1,0,0.128,75.4,1,1.0282,False,"[4219530.15, 4596299.33, 5118174.81, 5477985.52, 6181869.87]",
65,Bannerghatta Road,12.910884,77.604975,600.0,residential,1.004,5.072,39.08,2014,black cotton,True,2,0,1,0,0,0.0998,4297839.81,4243592.26,64.58,medium,2,1,0.1323,1703.1,0,0.8459,False,"[2655826.99, 3213890.96, 3314849.3, 3768058.28, 3999073.4]",
66,Malleshwaram,13.000456,77.593039,1408.5,commercial,7.733,2.322,70.82,1996,black cotton,False,2,1,1,0,0,0.104,34992235.06,36297333.47,76.59,high,2,1,0.7069,77.7,0,1.0047,False,"[22934481.43, 24781470.51, 27890776.5, 30187783.19, 31522467.27]",
67,HSR Layout,12.905281,77.608125,1460.79,residential,1.013,0.615,80.97,2015,red laterite,False,2,0,0,0,0,0.3356,21529090.54,21358415.17,89.08,low,2,0,-0.234,335.4,0,1.2349,False,"[13579473.85, 15268038.27, 16682893.76, 19054455.47, 20025074.38]",
68,Devanahalli,13.268863,77.724443,1136.56,residential,2.082,4.094,91.83,2007,black cotton,True,1,0,0,0,0,0.1921,5714219.64,5235564.11,90.77,low,1,0,0.305,336.9,1,1.0148,False,"[3625252.78, 4058150.81, 4456581.26, 4881309.33, 5191330.9]",
69,Koramangala,12.94844,77.619807,600.0,residential,1.292,5.93,84.3,1994,rocky,True,2,0,0,0,0,0.3523,8925935.32,8623706.46,86.24,low,2,0,0.3558,186.6,0,1.0156,False,"[5656556.03, 6563527.1, 7084576.11, 7649109.27, 8301588.07]",
70,Old Madras Road,13.02078,77.652876,2425.86,residential,1.261,4.066,86.73,1998,rocky,False,1,0,0,0,0,0.0609,24669459.01,28484414.49,88.98,low,1,0,0.1832,1210.4,0,1.0592,False,"[16012669.17, 17658827.46, 19744006.55, 21434385.09, 22167106.03]",
71,Kengeri,12.90855,77.477937,982.27,residential,0.537,3.547,86.05,2001,black cotton,False,0,1,0,0,0,0.208,8002932.28,8461268.01,89.7,low,0,0,-0.1026,742.8,1,1.0827,False,"[5180848.31, 5521091.83, 6424046.12, 7005393.43, 7344966.57]",
72,Marathahalli,12.978763,77.711472,3147.35,residential,1.926,1.042,70.04,1985,red laterite,False,0,0,0,1,1,0.3594,29933062.77,31575350.55,82.45,medium,0,0,0.4762,708.4,1,0.9404,False,"[19386591.74, 20287767.7, 24229491.16, 26167288.16, 28526259.87]",
73,Whitefield,12.956674,77.746743,852.89,residential,4.733,4.144,75.57,1986,black cotton,False,3,0,0,0,0,0.3867,7476625.77,7627781.71,80.21,medium,3,0,-0.488,1462.2,0,1.063,False,"[5082093.44, 5200126.41, 6039325.84, 6651102.28, 6729773.98]",
74,Devanahalli,13.230946,77.693262,2664.43,residential,0.127,1.631,58.06,2023,black cotton,False,2,0,0,0,0,0.1499,15901732.58,16480336.53,77.61,low,2,0,-0.1108,244.3,1,0.8112,False,"[10281675.08, 11333673.04, 12834435.26, 12914133.81, 15366148.77]",
75,Domlur,12.975822,77.640429,3318.47,industrial,5.501,10.081,54.65,1988,black cotton,False,1,1,0,0,0,0.5149,50087275.94,50583799.39,64.31,medium,1,0,0.3529,40.9,1,0.8562,False,"[32443995.86, 36980532.14, 39508605.61, 43568041.38, 44255696.29]",
76,Nagarbhavi,12.930499,77.501717,965.98,residential,2.738,4.242,60.21,1999,alluvial,False,0,1,0,0,0,0.248,8356256.54,8998727.3,74.25,low,0,0,-0.0325,580.0,0,0.8792,False,"[5367243.24, 6158186.91, 6649697.1, 6912823.34, 7781584.23]",
77,Kengeri,12.908144,77.480732,2480.75,residential,2.398,1.304,56.58,2016,rocky,False,2,0,0,0,0,0.1221,16012310.79,16765796.01,75.09,low,2,0,0.4591,191.7,0,1.0846,False,"[10145802.88, 11238906.68, 12162728.94, 13968724.45, 15247887.7]",
78,Koramangala,12.928869,77.560744,600.0,commercial,2.458,2.562,88.32,1990,sandy loam,True,1,0,0,0,0,0.2377,18271481.05,17504283.95,89.9,low,1,0,-0.318,84.5,0,1.0288,False,"[12651225.78, 12616805.41, 14714890.54, 16017939.2, 16780343.77]",
79,Hebbal,13.006885,77.610653,1610.96,residential,0.878,7.498,82.59,1981,sandy loam,False,1,0,0,0,0,0.4349,17036418.6,18020454.33,84.51,low,1,0,-0.218,264.1,0,0.9758,False,"[10761027.1, 11896278.18, 13279086.49, 14720358.93, 16307298.05]",
80,Indiranagar,12.959775,77.634507,3151.27,industrial,1.341,1.635,43.29,2001,alluvial,True,1,0,0,0,0,0.1513,57202389.76,49645271.39,69.13,low,1,0,-0.0729,1040.0,0,1.1243,False,"[38446113.23, 39337606.44, 44287413.53, 50680905.9, 52361817.34]",
81,Hoskote,13.06852,77.771037,1925.51,commercial,4.015,2.981,79.56,2015,black cotton,False,2,0,0,0,0,0.1677,18219315.1,19475903.89,83.78,low,2,0,0.1643,75.2,0,1.0682,False,"[11821816.08, 12496522.95, 14813408.51, 14971631.74, 16345345.37]",
82,BTM Layout,12.937279,77.628551,7218.17,residential,0.915,4.554,75.92,1984,alluvial,False,3,0,1,0,2,0.4638,89448743.25,84202129.0,83.49,high,3,1,0.0045,755.4,3,0.9478,False,"[60021568.42, 67838037.22, 70144611.24, 76842082.8, 84812220.52]",
83,Hebbal,13.021941,77.609727,2002.3,residential,1.587,5.618,42.24,1986,alluvial,True,3,0,0,0,0,0.4985,18684927.45,19306689.78,65.2,medium,3,0,-0.0626,216.7,0,0.8137,False,"[12253369.07, 13313676.67, 14579679.37, 15483527.48, 17464032.53]",
84,Koramangala,12.959468,77.617954,6268.28,agricultural,0.1,0.764,79.72,1985,red laterite,True,0,0,0,0,0,0.3637,25934346.22,24802988.06,89.16,low,0,0,0.4151,58.8,0,0.8525,True,"[16809648.99, 18445624.19, 19968505.28, 21836444.17, 24439686.01]",
85,Bannerghatta Road,12.894564,77.574457,9785.14,industrial,3.307,3.331,72.13,2001,rocky,False,2,0,0,0,1,0.3375,109623329.26,114029926.63,80.42,medium,2,0,0.4384,754.6,0,0.736,False,"[73188182.11, 78211605.83, 85654233.1, 92404468.35, 104003642.85]",
86,Hebbal,13.061208,77.600561,4203.15,residential,1.352,9.731,93.64,1989,sandy loam,False,3,0,0,0,0,0.3784,48329147.13,52218652.55,87.82,medium,3,0,-0.0436,1397.6,2,1.0253,False,"[31443905.62, 35152592.74, 38526517.34, 41265647.39, 43819689.63]",
87,Nagarbhavi,12.95091,77.508462,600.0,commercial,1.863,13.813,70.66,2019,black cotton,False,3,1,0,0,0,0.4197,10633800.37,12177805.81,72.6,medium,3,0,-0.3674,137.7,1,0.8448,False,"[6700116.62, 7896210.46, 8246366.65, 9057794.1, 9648176.69]",
88,BTM Layout,12.915624,77.628587,773.62,residential,0.305,4.27,82.62,1999,sandy loam,False,2,0,0,0,0,0.159,10967299.77,10222674.56,87.62,low,2,0,-0.4794,144.7,0,0.9108,False,"[6862005.53, 7727742.57, 9034512.17, 9576215.67, 10084039.76]",
89,Tumkur Road,13.05737,77.511125,647.61,industrial,11.983,16.457,81.39,2007,sandy loam,True,1,0,0,0,0,0.3605,3664154.5,4060920.54,66.75,low,1,0,0.1198,198.1,1,0.977,False,"[2461056.98, 2627030.31, 2993932.28, 3313255.31, 3483010.56]",
90,Jayanagar,12.92721,77.607698,2104.73,residential,0.901,3.383,67.18,2002,rocky,False,2,1,0,0,0,0.366,28824267.58,30241864.93,80.07,medium,2,0,0.224,673.1,0,1.1879,False,"[18790281.17, 21156614.55, 22779859.72, 23730443.95, 26429186.88]",
91,Indiranagar,12.99746,77.629995,1997.82,industrial,2.52,2.338,61.66,2014,sandy loam,False,2,1,0,0,1,0.1825,34368886.27,34659416.75,76.69,medium,2,0,0.0757,4.2,0,1.1672,False,"[21685673.21, 24280387.03, 28384349.94, 30328582.93, 32266118.62]",
92,Domlur,12.916749,77.611783,1987.07,commercial,2.176,3.208,89.03,1980,sandy loam,False,1,0,0,0,0,0.4269,52994410.79,57932957.57,89.99,low,1,0,0.0423,101.4,0,0.9902,False,"[35307359.73, 36150546.98, 42637377.86, 46571090.02, 46910920.38]",
93,Kengeri,12.954748,77.459754,600.0,commercial,3.844,0.5,70.3,2008,alluvial,False,1,0,0,0,0,0.5819,7294912.21,7466235.12,81.29,low,1,0,-0.1411,489.5,0,1.2278,False,"[4853339.64, 5044566.95, 5475560.32, 6467132.0, 6637341.67]",
94,Banashankari,12.942655,77.545552,856.91,residential,0.87,2.055,75.22,1988,rocky,False,1,0,0,0,0,0.0758,10844925.17,11823431.71,85.18,low,1,0,0.2237,208.1,0,0.6378,False,"[6893913.59, 8022989.87, 8501285.16, 9287558.05, 10041948.06]",
95,Kengeri,12.902829,77.48109,1206.53,residential,3.526,2.453,70.87,1988,red laterite,False,3,0,0,0,0,0.3925,8216918.18,7974856.97,80.3,medium,3,0,0.4795,160.4,0,1.3379,False,"[5398120.63, 5878985.66, 6510120.65, 6983795.72, 7699551.36]",
